EmployeeID,Age,Gender,Department,JobRole,Education,MaritalStatus,BusinessTravel,OverTime,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsSinceLastPromotion,DistanceFromHome,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,Attrition
1001,37,Male,HR,HR Specialist,College,Divorced,Travel_Rarely,No,3061,4,16,4,3,1,4,1,No
1002,46,Male,HR,Manager,College,Married,Travel_Rarely,Yes,10696,18,23,6,9,1,2,4,Yes
1003,36,Male,IT,IT Manager,Bachelor,Married,Travel_Rarely,Yes,10448,13,13,1,21,4,1,3,Yes
1004,25,Male,Sales,Sales Representative,Master,Divorced,Travel_Frequently,Yes,3977,5,5,5,7,3,2,3,Yes
1005,35,Male,HR,Manager,Below College,Married,Travel_Rarely,Yes,8969,12,12,1,27,2,3,1,Yes
1006,40,Male,Finance,Manager,Master,Divorced,Travel_Rarely,No,8785,12,17,9,8,4,2,3,No
1007,34,Male,R&D,Laboratory Technician,Master,Married,Travel_Rarely,Yes,5785,10,10,6,6,1,1,2,Yes
1008,36,Male,Finance,Manager,Bachelor,Divorced,Travel_Frequently,No,10390,16,16,4,6,3,1,3,No
1009,26,Female,IT,IT Manager,Bachelor,Single,Travel_Frequently,Yes,7226,2,2,1,11,3,2,1,Yes
1010,25,Male,Sales,Manager,College,Divorced,Travel_Frequently,No,7939,2,2,1,18,2,2,4,No
1011,32,Female,Finance,Manager,Bachelor,Divorced,Travel_Rarely,No,8210,9,9,9,3,4,1,2,No
1012,23,Male,Sales,Manager,College,Single,Travel_Rarely,No,7120,1,3,1,16,1,2,3,Yes
1013,32,Male,R&D,Laboratory Technician,Doctorate,Single,Non-Travel,No,6379,12,12,5,21,4,4,1,No
1014,32,Female,Sales,Sales Executive,Master,Divorced,Non-Travel,Yes,5657,11,11,10,26,4,2,1,No
1015,35,Male,IT,Data Analyst,Doctorate,Married,Travel_Frequently,No,5776,12,12,7,1,4,1,2,No
1016,55,Female,HR,Manager,Bachelor,Divorced,Travel_Frequently,No,7117,6,34,4,2,1,1,3,Yes
1017,31,Male,Finance,Accountant,Bachelor,Divorced,Travel_Rarely,No,4428,2,7,2,29,2,4,1,Yes
1018,53,Female,HR,Manager,Master,Married,Travel_Rarely,No,7810,6,31,6,5,3,2,3,No
1019,56,Male,Sales,Manager,Master,Married,Travel_Rarely,Yes,11554,17,36,7,3,3,2,3,No
1020,53,Male,IT,IT Manager,College,Divorced,Travel_Rarely,No,7986,9,29,4,29,1,2,3,No
1021,60,Female,IT,Data Analyst,Below College,Married,Travel_Rarely,Yes,7448,15,36,10,9,1,1,4,No
1022,55,Female,Sales,Sales Representative,College,Single,Non-Travel,Yes,3192,0,31,0,18,2,1,3,No
1023,42,Male,IT,Data Analyst,Doctorate,Single,Travel_Frequently,No,4520,3,21,0,6,4,2,2,No
1024,35,Female,Finance,Financial Analyst,Master,Married,Travel_Rarely,No,3158,3,14,1,27,1,4,2,Yes
1025,41,Female,HR,Recruiter,Doctorate,Single,Travel_Rarely,No,4236,8,21,4,29,4,3,1,Yes
1026,40,Female,R&D,Laboratory Technician,Below College,Divorced,Travel_Rarely,Yes,7451,16,16,10,14,2,3,1,Yes
1027,41,Female,R&D,Manager,Bachelor,Single,Travel_Rarely,No,9177,9,21,6,10,4,3,4,No
1028,56,Female,Finance,Manager,Bachelor,Divorced,Travel_Rarely,No,10630,17,33,7,26,3,3,2,No
1029,30,Male,Sales,Sales Representative,College,Single,Travel_Rarely,No,5377,8,8,0,10,3,1,2,No
1030,49,Female,R&D,Research Scientist,Master,Single,Travel_Frequently,No,3999,6,25,6,5,4,4,4,No
1031,34,Male,Sales,Sales Representative,Bachelor,Divorced,Travel_Frequently,Yes,4773,10,10,9,26,2,1,4,Yes
1032,59,Female,IT,Software Engineer,Master,Married,Travel_Rarely,No,7039,14,35,8,8,4,4,3,No
1033,24,Female,Sales,Sales Representative,Master,Divorced,Travel_Rarely,No,3223,3,3,3,13,1,2,2,No
1034,23,Male,R&D,Laboratory Technician,Bachelor,Married,Travel_Frequently,No,2012,0,0,0,12,1,4,4,No
1035,34,Female,IT,IT Manager,Master,Divorced,Travel_Rarely,No,8869,8,13,7,22,1,4,3,No
1036,21,Female,Finance,Manager,College,Married,Travel_Rarely,No,7275,0,0,0,15,1,4,2,No
1037,37,Female,R&D,Laboratory Technician,Master,Divorced,Non-Travel,No,3831,2,15,0,3,1,3,2,No
1038,59,Male,Sales,Sales Executive,Master,Single,Travel_Rarely,No,4432,4,38,0,9,1,2,4,No
1039,26,Male,Sales,Sales Representative,Master,Divorced,Travel_Rarely,No,3155,4,4,2,19,4,4,2,No
1040,56,Male,HR,HR Specialist,Bachelor,Married,Travel_Rarely,No,6275,17,34,5,28,3,1,3,No
1041,29,Female,IT,IT Manager,Master,Married,Travel_Rarely,No,8392,8,8,3,27,3,4,4,No
1042,35,Female,Sales,Sales Representative,College,Single,Travel_Rarely,No,6492,11,11,4,11,3,1,4,No
1043,37,Male,Finance,Manager,Bachelor,Married,Travel_Rarely,Yes,8414,6,13,0,16,4,4,2,Yes
1044,35,Female,Sales,Manager,Bachelor,Married,Travel_Rarely,No,8970,11,11,1,23,3,4,3,No
1045,54,Male,R&D,Manager,Bachelor,Married,Travel_Rarely,No,8705,6,33,0,7,3,3,1,No
1046,23,Female,Sales,Sales Executive,Bachelor,Married,Travel_Rarely,No,3675,2,2,0,10,4,1,1,Yes
1047,24,Female,IT,Data Analyst,Doctorate,Single,Travel_Frequently,No,3911,1,1,0,19,1,2,2,No
1048,59,Male,R&D,Manager,Bachelor,Divorced,Travel_Frequently,No,9125,12,35,1,19,4,3,4,No
1049,36,Male,Sales,Sales Executive,Master,Married,Travel_Rarely,Yes,4586,7,15,3,15,1,2,1,Yes
